Instrument,Picture,Classification,H-S Number,Origin,Common classification,Relation
Tamborita calentana (Mexico),,membranophones,1/2,Mexico,percussion,drum
Tambou bas a dé fas,,membranophones,211.212.2,Guadeloupe,percussion,bass drum
Tambou bas a yon fas,,membranophones,211.221-7,Guadeloupe,percussion,bass drum
Tan-tan,,membranophones,2,Brazil,percussion,drum
Taphon,,membranophones,2,Thailand,percussion,drum
Tar,,membranophones,211.311,Saudi Arabia,percussion,frame drum
Tbilat,,membranophones,2,"Morocco, Saudi Arabia",percussion,
Thavil,,membranophones,2,India,percussion,drum
Timbales (Pailas),,membranophones,2,Cuba,percussion,drum
Timpani (kettledrum),,membranophones,211.11-922,,percussion,drum
Tom-tom drum,,membranophones,211.212.1,,percussion,drum
Tombak,,membranophones,2,Iran,percussion,drum
Tsuzumi,,membranophones,1/2,Japan,percussion,drum
Tsuri-daiko,,membranophones,2,Japan,percussion,drum
unpitched repique,,membranophones,2,Brazil,percussion,drum
Uchiwa-daiko,,membranophones,2,Japan,percussion,drum
